Bioarxiv Title,Bioarxiv Abstract
Improving dictionary-based named entity recognition with deep learning,"Motivation Dictionary-based named entity recognition (NER) allows terms to be detected in a corpus and normalized to biomedical databases and ontologies. However, adaptation to different entity types requires new high-quality dictionaries and associated lists of blocked names for each type. The latter are so far created by identifying cases that cause many false positives through manual inspection of individual names, a process that scales poorly.Results In this work we aim to improve block lists by automatically identifying names to block, based on the context in which they appear. By comparing results of three well-established biomedical NER methods, we generated a dataset of over 12.5 million text spans where the methods agree on the boundaries and type of entity tagged. These were used to generate positive and negative examples of contexts for four entity types (genes, diseases, species, chemicals), which were used to train a Transformer-based model (BioBERT) to perform entity type classification. Application of the best model (F1-score=96.7%) allowed us to generate a list of problematic names that should be blocked. Introducing this into our system doubled the size of the previous list of corpus-wide blocked names. Additionally, we generated a document-specific list that allows ambiguous names to be blocked in specific documents. These changes boosted text mining precision by ∼5.5% on average, and over 8.5% for chemical and 7.5% for gene names, positively affecting several biological databases utilizing this NER system, like the STRING database, with only a minor drop in recall (0.6%).Availability All resources are available through Zenodo https://doi.org/10.5281/zenodo.10800530 and GitHub https://doi.org/10.5281/zenodo.10289360."
Geometric deep learning framework for de novo genome assembly,"The critical stage of every de novo genome assembler is identifying paths in assembly graphs that correspond to the reconstructed genomic sequences. The existing algorithmic methods struggle with this, primarily due to repetitive regions causing complex graph tangles, leading to fragmented assemblies. Here, we introduce GNNome, a framework for path identification based on geometric deep learning that enables training models on assembly graphs without relying on existing assembly strategies. By leveraging symmetries inherent to the problem, GNNome reconstructs assemblies with similar or superior contiguity compared to the state-of-the-art tools across several species, sequenced with PacBio HiFi or Oxford Nanopore. With every new genome assembled telomere-to-telomere, the amount of reliable training data at our disposal increases. Combining the straightforward generation of abundant simulated data for diverse genomic structures with the AI approach makes the proposed framework a plausible cornerstone for future work on reconstructing complex genomes with different ploidy and aneuploidy degrees. To facilitate such developments, we make the framework and the best-performing model publicly available, provided as a tool that can directly be used to assemble new haploid genomes."
Deep Learning Models for Atypical Serotoninergic Cells Recognition,"Background The serotonergic system modulates brain processes via functionally distinct subpopulations of neurons with heterogeneous properties, including their electrophysiological activity. In extracellular recordings, serotonergic neurons to be investigated for their functional properties are commonly identified on the basis of “typical” features of their activity, i.e. slow regular firing and relatively long duration of spikes. Thus, due to the lack of equally robust criteria for discriminating serotonergic neurons with “atypical” features from non-serotonergic cells, the physiological relevance of the diversity of serotonergic neuron activities results largely understudied.New Methods We propose deep learning models capable of discriminating typical and atypical serotonergic neurons from non-serotonergic cells with high accuracy. The research utilized electrophysiological in vitro recordings from serotonergic neurons identified by the expression of fluorescent proteins specific to the serotonergic system and non-serotonergic cells. These recordings formed the basis of the training, validation, and testing data for the deep learning models. The study employed convolutional neural networks (CNNs), known for their efficiency in pattern recognition, to classify neurons based on the specific characteristics of their action potentials.Results The models were trained on a dataset comprising 43,327 original spike samples, alongside an extensive set of 6.7 million synthetic spike samples, designed to mitigate the risk of overfitting the background noise in the recordings, a potential source of bias. Results show that the models achieved high accuracy and were further validated on “non-homogeneous” data, i.e., data not used for constructing the model, to confirm their robustness and reliability in real-world experimental conditions.Comparison with existing methods Conventional methods for identifying serotonergic neurons allow recognition of serotonergic neurons defined as typical. Our model based on the analysis of the sole spike reliably recognizes over 92 features of spike and activity.Conclusions The model is ready for use in experiments conducted with the here described recording parameters. We release the codes and procedures allowing to adapt the model to different acquisition parameters or for identification of other classes of spontaneously active neurons.PACS 87.19.L, 87.19.lv, 87.85.dm, 07.05.Mh, 87.85.Tu"
Ribonanza: deep learning of RNA structure through dual crowdsourcing,"Prediction of RNA structure from sequence remains an unsolved problem, and progress has been slowed by a paucity of experimental data. Here, we present Ribonanza, a dataset of chemical mapping measurements on two million diverse RNA sequences collected through Eterna and other crowdsourced initiatives. Ribonanza measurements enabled solicitation, training, and prospective evaluation of diverse deep neural networks through a Kaggle challenge, followed by distillation into a single, self-contained model called RibonanzaNet. When fine tuned on auxiliary datasets, RibonanzaNet achieves state-of-the-art performance in modeling experimental sequence dropout, RNA hydrolytic degradation, and RNA secondary structure, with implications for modeling RNA tertiary structure."
Interpretable deep learning reveals the sequence rules of Hippo signaling,"SummaryThe response to signaling pathways is highly context-specific, and identifying the transcription factors and mechanisms that are responsible is very challenging. Using the Hippo pathway in mouse trophoblast stem cells as a model, we show here that this information is encoded in cis-regulatory sequences and can be learned from high-resolution binding data of signaling transcription factors. Using interpretable deep learning, we show that the binding levels of TEAD4 and YAP1 are enhanced in a distance-dependent manner by cell type-specific transcription factors, including TFAP2C. We also discovered that strictly spaced Tead double motifs are widespread highly active canonical response elements that mediate cooperativity by promoting labile TEAD4 protein-protein interactions on DNA. These syntax rules and mechanisms apply genome-wide and allow us to predict how small sequence changes alter the activity of enhancers in vivo. This illustrates the power of interpretable deep learning to decode canonical and cell type-specific sequence rules of signaling pathways.Download figureOpen in new tab"
Deep Learning Based Models for Preimplantation Mouse and Human Development,"The rapid growth of single-cell transcriptomic technology has produced an increasing number of datasets for both embryonic development and in vitro pluripotent stem cell derived models. This avalanche of data about pluripotency and the process of lineage specification has meant it has become increasingly difficult to define specific cell types or states and compare these to in vitro differentiation. Here we utilize a set of deep learning (DL) tools to integrate and classify multiple datasets. This allows for the definition of both mouse and human embryo cell types, lineages and states, thereby maximising the information one can garner from these precious experimental resources. Our approaches are built on recent initiatives for large scale human organ atlases, but here we focus on the difficult to obtain and process material that spans early mouse, and in particular, human development. Using publicly available data for these stages, we test different deep learning approaches and develop both a model to classify cell types in an unbiased fashion and define the set of genes required to identify lineages, cell types and states. We have used our predictions to probe pluripotent stem cell models for both mouse and human development, showcasing the importance of this resource as a dynamic reference for early embryogenesis."
Fragle: Universal ctDNA quantification using deep learning of fragmentomic profiles,"Quantification of circulating tumor DNA (ctDNA) levels in blood enables non-invasive surveillance of cancer progression. Fragle is an ultra-fast deep learning-based method for ctDNA quantification directly from cell-free DNA fragment length profiles. We developed Fragle using low-pass whole genome sequence (lpWGS) data from 8 cancer types and healthy control cohorts, demonstrating high accuracy, and improved lower limit of detection in independent cohorts as compared to existing tumor-naïve methods. Uniquely, Fragle is also compatible with targeted sequencing data, exhibiting high accuracy across both research and commercial targeted gene panels. We used this method to study longitudinal plasma samples from colorectal cancer patients, identifying strong concordance of ctDNA dynamics and treatment response. Furthermore, prediction of minimal residual disease in resected lung cancer patients exhibited significant risk stratification beyond a tumor-naïve targeted panel. Overall, Fragle is a versatile, fast, and accurate method for ctDNA quantification with potential for broad clinical utility."
Decoding cell identity with multi-scale explainable deep learning,"Cells are the fundamental structural and functional units of life. Studying the definition and composition of different cell types can help us understand the complex mechanisms underlying biological diversity and functionality. The increasing volume of extensive single-cell omics data makes it possible to provide detailed characterisations of cell types. Recently, there has been a rise in deep learning-based approaches that generate cell type labels solely through mapping query data to reference data. However, these approaches lack multi-scale descriptions and interpretations of identified cell types. Here, we propose Cell Decoder, a biological prior knowledge informed model to achieve multi-scale representation of cells. We implemented automated machine learning and post-hoc analysis techniques to decode cell identity. We have shown that Cell Decoder compares favourably to existing methods, offering multi-view interpretability for decoding cell identity and data integration. Furthermore, we have showcased its applicability in uncovering novel cell types and states in both human bone and mouse embryonic contexts, thereby revealing the multi-scale heterogeneity inherent in cell identities."
Deep Learning Prediction of Glycopeptide Tandem Mass Spectra Powers Glycoproteomics,"Protein glycosylation plays a significant role in numerous physiological and pathological cellular functions. Glycoproteomics based on liquid chromatography-tandem mass spectrometry (LC-MS/MS) studies the protein glycosylation on a proteome-wide scale to get combinational information on glycosylation site, glycosylation level and glycan structure. However, the current sequence searching-based methods for glycoproteomics often fall short in glycan structure determination due to the limited occurrence of structure-determining ions. While spectral searching methods can utilize fragment intensity information to facilitate the identification of glycopeptides, its application is hindered by the difficulties in spectral library construction. In this work, we present DeepGP, a hybrid deep learning framework based on Transformer and graph neural network (GNN), for the prediction of MS/MS spectra and retention time of glycopeptides. Two GNN modules are utilized to capture the branched glycan structure and predict glycan ions intensity, respectively. Additionally, a pre-training strategy is implemented to alleviate the insufficiency of glycoproteomics data. Testing on multiple biological datasets, we demonstrate that DeepGP can predict MS/MS spectra and retention time of glycopeptides closely aligning with the experimental results. Comprehensive benchmarking of DeepGP on synthetic and biological datasets validates its effectiveness in distinguishing similar glycoforms. Remarkably, DeepGP can differentiate isomeric glycopeptides using MS/MS spectra without diagnostic ions. Based on various decoy methods, we demonstrated that DeepGP in combination with database searching can significantly increase the detection sensitivity of glycopeptides. We outlook that DeepGP can inspire extensive future work in glycoproteomics."
Comprehensive Hierarchical Classification of Transposable Elements based on Deep Learning,"Transposable elements (TEs) are DNA sequences capable of translocating within a genome. They constitute a substantial portion of eukaryotic genomes and play significant roles in genome evolution and gene regulation. The correct classification of these repetitive elements is essential to investigate their potential impact on genomes. Despite the existence of several tools for TE classification, they often neglect the importance of simultaneously utilizing global and local information for TE-type identification, resulting in suboptimal performance. Furthermore, these tools are not user-friendly due to the complex installation processes and numerous dependencies. In this study, we introduced a novel framework, CREATE, which leverages the strengths of Convolutional and Recurrent Neural NEtworks, combined with Attention mechanisms, for efficient TE classification. Given the tree-like structure of TE groups, we separately trained nine models within the class hierarchy. Benchmarking experiments showed that CREATE significantly outperformed other TE classification tools. The source code and demo data for CREATE are available at https://github.com/yangqi-cs/CREATE. To facilitate TE annotation for researchers, we have developed a web platform, named WebDLTE, based on the CREATE framework. This platform employs GPU-accelerated pre-trained deep learning models for real-time TE classification and offers the most comprehensive collection of TEs for download. The web interface can be accessed at https://www.webdlte.nwpu.edu.cn."
Deep learning methods in metagenomics: a review,"The ever-decreasing cost of sequencing and the growing potential applications of metagenomics have led to an unprecedented surge in data generation. One of the most prevalent applications of metagenomics is the study of microbial environments, such as the human gut. The gut microbiome plays a crucial role in human health, providing vital information for patient diagnosis and prognosis. However, analyzing metagenomic data remains challenging due to several factors, including reference catalogs, sparsity, and compositionality. Deep learning (DL) enables novel and promising approaches that complement state-of-the-art microbiome pipelines. DL-based methods can address almost all aspects of microbiome analysis, including novel pathogen detection, sequence classification, patient stratification, and disease prediction. Beyond generating predictive models, a key aspect of these methods is also their interpretability. This article reviews deep learning approaches in metagenomics, including convolutional networks (CNNs), autoencoders, and attention-based models. These methods aggregate contextualized data and pave the way for improved patient care and a better understanding of the microbiome’s key role in our health.Author summary In our study, we look at the vast world of research in metagenomics, the study of genetic material from environmental samples, spurred by the increasing affordability of sequencing technologies. Our particular focus is the human gut microbiome, an environment teeming with microscopic life forms that plays a central role in our health and well-being. However, navigating through the vast amounts of data generated is not an easy task. Traditional methods hit roadblocks due to the unique nature of metagenomic data. That’s where deep learning (DL), a today well known branch of artificial intelligence, comes in. DL-based techniques complement existing methods and open up new avenues in microbiome research. They’re capable of tackling a wide range of tasks, from identifying unknown pathogens to predicting disease based on a patient’s unique microbiome. In our article, we provide a very comprehensive review of different DL strategies for metagenomics, including convolutional networks, autoencoders, and attention-based models. We are convinced that these techniques significantly enhance the field of metagenomic analysis in its entirety, paving the way for more accurate data analysis and, ultimately, better patient care. The PRISMA augmented diagram of our review is illustrated in Fig 1."
Deep learning-based synaptic event detection,"ABSTRACTQuantitative information about synaptic transmission is key to our understanding of neural function. Spontaneous synaptic events carry important information about synaptic efficacy and plasticity. However, due to their stochastic nature and low signal-to-noise ratio, reliable and consistent detection of these events in neurophysiological data remains highly challenging. Here, we present miniML, a novel method for the accurate detection of spontaneous synaptic events based on deep learning. Using simulated ground-truth data, we demonstrate that miniML outperforms commonly used methods in terms of precision and recall over different signal-to-noise conditions. The event detection method generalizes easily to diverse synaptic preparations and different types of data. miniML provides a powerful and easy-to-use deep learning framework for automated, standardized and precise analysis of synaptic events in any cell, thus opening new avenues for in-depth investigations into the synaptic basis of neural function and dysfunction."
Interpretable deep learning for deconvolutional analysis of neural signals,"The widespread adoption of deep learning to build models that capture the dynamics of neural populations is typically based on “black-box” approaches that lack an interpretable link between neural activity and function. Here, we propose to apply algorithm unrolling, a method for interpretable deep learning, to design the architecture of sparse deconvolutional neural networks and obtain a direct interpretation of network weights in relation to stimulus-driven single-neuron activity through a generative model. We characterize our method, referred to as deconvolutional unrolled neural learning (DUNL), and show its versatility by applying it to deconvolve single-trial local signals across multiple brain areas and recording modalities. To exemplify use cases of our decomposition method, we uncover multiplexed salience and reward prediction error signals from midbrain dopamine neurons in an unbiased manner, perform simultaneous event detection and characterization in somatosensory thalamus recordings, and characterize the responses of neurons in the piriform cortex. Our work leverages the advances in interpretable deep learning to gain a mechanistic understanding of neural dynamics."
Current limitations in predicting mRNA translation with deep learning models,"Background The design of nucleotide sequences with defined properties is long-standing problem in bioengineering. An important application is protein expression, be it in the context of research or the production of mRNA vaccines. The rate of protein synthesis depends on the 5’ untranslated region (5’UTR) of the mRNAs, and recently, deep learning models were proposed to predict the translation output of mRNAs from the 5’UTR sequence. At the same time, large data sets of endogenous and reporter mRNA translation have become available.Results In this study we use complementary data obtained in two different cell types to assess the accuracy and generality of currently available models of translation. We find that while performing well on the data sets on which they were trained, deep learning models do not generalize well to other data sets, in particular of endogenous mRNAs, which differ in many properties from reporter constructs.Conclusions These differences limit the ability of deep learning models to uncover mechanisms of translation control and to predict the impact of genetic variation. We suggest directions that combine high-throughput measurements and machine learning to unravel mechanisms of translation control and improve construct design."
FLAb: Benchmarking deep learning methods for antibody fitness prediction,"The successful application of machine learning in therapeutic antibody design relies heavily on the ability of models to accurately represent the sequence-structure-function landscape, also known as the fitness landscape. Previous protein bench-marks (including The Critical Assessment of Function Annotation [33], Tasks Assessing Protein Embeddings [23], and FLIP [6]) examine fitness and mutational landscapes across many protein families, but they either exclude antibody data or use very little of it. In light of this, we present the Fitness Landscape for Antibodies (FLAb), the largest therapeutic antibody design benchmark to date. FLAb currently encompasses six properties of therapeutic antibodies: (1) expression, (2) thermosta-bility, (3) immunogenicity, (4) aggregation, (5) polyreactivity, and (6) binding affinity. We use FLAb to assess the performance of various widely adopted, pretrained, deep learning models for proteins (IgLM [28], AntiBERTy [26], ProtGPT2 [11], ProGen2 [21], ProteinMPNN [7], and ESM-IF [13]); and compare them to physics-based Rosetta [1]. Overall, no models are able to correlate with all properties or across multiple datasets of similar properties, indicating that more work is needed in prediction of antibody fitness. Additionally, we elucidate how wild type origin, deep learning architecture, training data composition, parameter size, and evolutionary signal affect performance, and we identify which fitness landscapes are more readily captured by each protein model. To promote an expansion on therapeutic antibody design benchmarking, all FLAb data are freely accessible and open for additional contribution at https://github.com/Graylab/FLAb."
Predicting RNA Sequence-Structure Likelihood via Structure-Aware Deep Learning,"Motivation The active functionalities of RNA are recognized to heavily dependent on the structure and sequence. Therefore, A model that can accurately evaluate a design by giving RNA sequence-structure pairs would be a valuable tool for many researchers. Machine learning methods have been explored to develop such tools, showing promising results. However, two key issues remain. Firstly, the performance of machine learning models is affected by the features used to characterize RNA. Currently, there is no consensus on which features are the most effective for characterizing RNA sequence-structure pairs. Secondly, most existing machine learning methods extract features describing entire RNA molecule. We argue that it is essential to define additional features that characterize nucleotides and specific sections of RNA structure to enhance the overall efficacy of the RNA design process.Results We develop two deep learning models for evaluating RNA sequence-structure pairs. The first model, NU-ResNet, uses a convolutional neural network architecture that solves the aforementioned problems by explicitly encoding RNA sequence-structure information into a 3D matrix. Building upon NU-ResNet, our second deep learning model, NUMO-ResNet, incorporates additional information derived from the characterizations of RNA, specifically the 2D folding motifs. In this work, we introduce an automated method to extract these motifs based on fundamental secondary structure descriptions. To assess the robustness of our models, we conduct 10-fold cross validation. Furthermore, we evaluate the performance of both models on two independent testing datasets. Our proposed models demonstrate excellent performance across both datasets and surpass the performance of the ENTRNA approach.Availability and Implementation The corresponding source code and data for this research is available at https://github.com/yzhou617/NU-ResNet_and_NUMO-ResNet.Contact Giulia.Pedrielli{at}asu.eduSupplementary information Supplementary data are available at Bioinformatics online."
Neural Activity Shaping in Visual Prostheses with Deep Learning,"Objective The visual perception provided by retinal prostheses is poor and limited to images constructed of phosphenes generated by the electrodes. One limiting factor has been the conventional strategy used to encode the target image into a stimulation pattern. Under this strategy, if the electrode density is high, the current spread of neighbouring unipolar stimuli overlaps, leading to blurred images. Simultaneous multipolar stimulation guided by the measured neural responses can attenuate excessive spread of excitation and allows for a more precise electrical input to the retina. However, it is far from trivial to predict what multipolar stimulus pattern will elicit the desired retinal response for a given target image. Here, we propose to solve this problem using an Artificial Neural Network (ANN) that could be trained with data acquired from the implant itself.Approach Our method consists of two ANNs trained sequentially. The Measurement Predictor Network (MPN) is trained on data from the implant and is used to predict how the retina responds to multipolar stimulation by learning the forward model. The Stimulus Generator Network (STG) is trained on a large dataset of natural images and uses the trained MPN to determine efficient multipolar stimulus patterns by learning the inverse model. We validate our method in silico using a realistic model of retinal response to multipolar stimulation.Main Results We show that the simulated retinal activations elicited with our ANN-based approach are considerably sharper when compared with the conventional method used in existing devices. The SGN finds multipolar stimulation patterns that are tuned to a specific retina, thus providing patient-specific stimuli. Also, due to its small computational cost, the SGN can output stimulation patterns at a very high rate.Significance Our novel protocol opens the door to personalized multipolar retinal stimulation, which may improve the visual experience and quality of life of retinal prosthesis users."
Data Imbalance in Drug Response Prediction - Multi-Objective Optimization Approach in Deep Learning Setting,"Drug response prediction (DRP) methods tackle the complex task of associating the effectiveness of small molecules with the specific genetic makeup of the patient. Anti-cancer DRP is a particularly challenging task requiring costly exper-iments as underlying pathogenic mechanisms are broad and associated with multiple genomic pathways. The scientific community has exerted significant efforts to generate public drug screening datasets, giving a path to various machine learning (ML) models that attempt to reason over complex data space of small compounds and biological characteris-tics of tumors. However, the data depth is still lacking compared to computer vision or natural language processing domains, limiting current learning capabilities. To combat this issue and increase the generalizability of the DRP mod-els, we are exploring strategies that explicitly address the imbalance in the DRP datasets. We reframe the problem as a multi-objective optimization across multiple drugs to maximize deep learning model performance. We implement this approach by constructing Multi-Objective Optimization Regularized by Loss Entropy (MOORLE) loss function and plug-ging it into a Deep Learning model. We demonstrate the utility of proposed drug discovery methods and make sugges-tions for further potential application of the work to promote equitable outcomes in the healthcare field.
Availability: https://github.com/AlexandrNP/MOORLE
Contact: onarykov@anl.gov"
