PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"36623998","Deep learning in image-based phenotypic drug discovery","Krentzel D, Shorte SL, Zimmer C.","Trends Cell Biol. 2023 Jul;33(7):538-554. doi: 10.1016/j.tcb.2022.11.011. Epub 2023 Jan 7.","Krentzel D","Trends Cell Biol","2023","2023/01/09","","","10.1016/j.tcb.2022.11.011"
"37139570","Deep Learning for Epidemiologists: An Introduction to Neural Networks","Serghiou S, Rough K.","Am J Epidemiol. 2023 Nov 3;192(11):1904-1916. doi: 10.1093/aje/kwad107.","Serghiou S","Am J Epidemiol","2023","2023/05/04","","","10.1093/aje/kwad107"
"36455333","Deep learning for computational cytology: A survey","Jiang H, Zhou Y, Lin Y, Chan RCK, Liu J, Chen H.","Med Image Anal. 2023 Feb;84:102691. doi: 10.1016/j.media.2022.102691. Epub 2022 Nov 14.","Jiang H","Med Image Anal","2023","2022/12/01","","","10.1016/j.media.2022.102691"
"36682721","Deep learning: A primer for dentists and dental researchers","Mohammad-Rahimi H, Rokhshad R, Bencharit S, Krois J, Schwendicke F.","J Dent. 2023 Mar;130:104430. doi: 10.1016/j.jdent.2023.104430. Epub 2023 Jan 20.","Mohammad-Rahimi H","J Dent","2023","2023/01/22","","","10.1016/j.jdent.2023.104430"
"37141652","Deep learning methods for medical image fusion: A review","Zhou T, Cheng Q, Lu H, Li Q, Zhang X, Qiu S.","Comput Biol Med. 2023 Jun;160:106959. doi: 10.1016/j.compbiomed.2023.106959. Epub 2023 Apr 20.","Zhou T","Comput Biol Med","2023","2023/05/04","","","10.1016/j.compbiomed.2023.106959"
"36192604","Obtaining genetics insights from deep learning via explainable artificial intelligence","Novakovsky G, Dexter N, Libbrecht MW, Wasserman WW, Mostafavi S.","Nat Rev Genet. 2023 Feb;24(2):125-137. doi: 10.1038/s41576-022-00532-2. Epub 2022 Oct 3.","Novakovsky G","Nat Rev Genet","2023","2022/10/03","","","10.1038/s41576-022-00532-2"
"36903654","Ensemble Learning, Deep Learning-Based and Molecular Descriptor-Based Quantitative Structure-Activity Relationships","Matsuzaka Y, Uesawa Y.","Molecules. 2023 Mar 6;28(5):2410. doi: 10.3390/molecules28052410.","Matsuzaka Y","Molecules","2023","2023/03/11","PMC10005768","","10.3390/molecules28052410"
"35567312","Deep Learning Applications in Surgery: Current Uses and Future Directions","Morris MX, Rajesh A, Asaad M, Hassan A, Saadoun R, Butler CE.","Am Surg. 2023 Jan;89(1):36-42. doi: 10.1177/00031348221101490. Epub 2022 May 13.","Morris MX","Am Surg","2023","2022/05/14","","","10.1177/00031348221101490"
"37087839","Deep learning for optimization of protein expression","Nikolados EM, Oyarzún DA.","Curr Opin Biotechnol. 2023 Jun;81:102941. doi: 10.1016/j.copbio.2023.102941. Epub 2023 Apr 21.","Nikolados EM","Curr Opin Biotechnol","2023","2023/04/23","","","10.1016/j.copbio.2023.102941"
"37003949","Leveraging deep learning to improve vaccine design","Hederman AP, Ackerman ME.","Trends Immunol. 2023 May;44(5):333-344. doi: 10.1016/j.it.2023.03.002. Epub 2023 Mar 30.","Hederman AP","Trends Immunol","2023","2023/04/01","PMC10485910","NIHMS1901948","10.1016/j.it.2023.03.002"
